timestamp,asset,timeframe,open,high,low,close,volume
2025-09-01T00:00:00+00:00,BTC/USDT,1h,108246.36000000,108406.18000000,107631.68000000,108222.37000000,1078.82210000
2025-09-01T01:00:00+00:00,BTC/USDT,1h,108222.37000000,108482.98000000,107968.09000000,108150.24000000,471.21562000
2025-09-01T02:00:00+00:00,BTC/USDT,1h,108150.24000000,108197.67000000,107425.42000000,107617.05000000,869.81682000
2025-09-01T03:00:00+00:00,BTC/USDT,1h,107617.05000000,107769.94000000,107393.00000000,107660.01000000,786.48643000
2025-09-01T04:00:00+00:00,BTC/USDT,1h,107660.00000000,107759.99000000,107279.51000000,107409.10000000,645.82838000
2025-09-01T05:00:00+00:00,BTC/USDT,1h,107409.09000000,107987.40000000,107255.00000000,107866.12000000,547.79285000
2025-09-01T06:00:00+00:00,BTC/USDT,1h,107866.13000000,108128.00000000,107594.42000000,108064.75000000,384.59049000
2025-09-01T07:00:00+00:00,BTC/USDT,1h,108064.76000000,109432.99000000,107984.79000000,109432.99000000,1325.96108000
2025-09-01T08:00:00+00:00,BTC/USDT,1h,109432.99000000,109820.02000000,109424.00000000,109590.00000000,1103.75653000
2025-09-01T09:00:00+00:00,BTC/USDT,1h,109590.00000000,109912.40000000,109485.57000000,109524.12000000,513.50327000
2025-09-01T10:00:00+00:00,BTC/USDT,1h,109524.13000000,109535.32000000,108186.41000000,108571.41000000,948.82778000
2025-09-01T11:00:00+00:00,BTC/USDT,1h,108571.42000000,108857.35000000,108464.00000000,108782.88000000,545.20367000
2025-09-01T12:00:00+00:00,BTC/USDT,1h,108782.89000000,109165.47000000,108635.39000000,109108.27000000,636.34520000
2025-09-01T13:00:00+00:00,BTC/USDT,1h,109108.27000000,109520.00000000,108936.44000000,109023.61000000,725.12306000
2025-09-01T14:00:00+00:00,BTC/USDT,1h,109023.61000000,109332.28000000,108824.82000000,109146.60000000,490.85432000
2025-09-01T15:00:00+00:00,BTC/USDT,1h,109146.59000000,109373.10000000,108566.00000000,108784.33000000,414.02255000
2025-09-01T16:00:00+00:00,BTC/USDT,1h,108784.33000000,109096.00000000,108653.09000000,108774.23000000,374.40601000
2025-09-01T17:00:00+00:00,BTC/USDT,1h,108774.23000000,108953.82000000,108391.30000000,108927.61000000,570.88854000
2025-09-01T18:00:00+00:00,BTC/USDT,1h,108927.61000000,109267.22000000,108921.17000000,109240.00000000,346.10668000
2025-09-01T19:00:00+00:00,BTC/USDT,1h,109240.00000000,109329.65000000,109160.27000000,109217.64000000,261.74926000
2025-09-01T20:00:00+00:00,BTC/USDT,1h,109217.65000000,109217.65000000,108284.00000000,108877.38000000,873.53022000
2025-09-01T21:00:00+00:00,BTC/USDT,1h,108877.39000000,108939.42000000,107459.49000000,107800.80000000,917.91242000
2025-09-01T22:00:00+00:00,BTC/USDT,1h,107800.80000000,108500.04000000,107588.01000000,108444.96000000,517.76894000
2025-09-01T23:00:00+00:00,BTC/USDT,1h,108444.96000000,109442.95000000,108428.45000000,109237.42000000,703.08997000
2025-09-02T00:00:00+00:00,BTC/USDT,1h,109237.43000000,109337.64000000,108883.80000000,109040.36000000,552.10707000
2025-09-02T01:00:00+00:00,BTC/USDT,1h,109040.36000000,109611.11000000,108993.00000000,109313.00000000,616.57671000
2025-09-02T02:00:00+00:00,BTC/USDT,1h,109313.00000000,110272.06000000,109171.78000000,110246.01000000,1081.14032000
2025-09-02T03:00:00+00:00,BTC/USDT,1h,110246.00000000,110623.97000000,110060.12000000,110322.18000000,916.19598000
2025-09-02T04:00:00+00:00,BTC/USDT,1h,110322.19000000,110420.00000000,110143.62000000,110310.56000000,492.48149000
2025-09-02T05:00:00+00:00,BTC/USDT,1h,110310.56000000,110337.06000000,110045.01000000,110209.32000000,359.35463000
2025-09-02T06:00:00+00:00,BTC/USDT,1h,110209.33000000,110610.50000000,110173.96000000,110376.63000000,596.39606000
2025-09-02T07:00:00+00:00,BTC/USDT,1h,110376.63000000,110400.00000000,110000.00000000,110233.92000000,504.48390000
2025-09-02T08:00:00+00:00,BTC/USDT,1h,110233.91000000,110711.10000000,110052.27000000,110360.00000000,557.03627000
2025-09-02T09:00:00+00:00,BTC/USDT,1h,110360.01000000,110699.58000000,110256.94000000,110450.56000000,476.55196000
2025-09-02T10:00:00+00:00,BTC/USDT,1h,110450.56000000,110477.85000000,110128.13000000,110246.00000000,410.87869000
2025-09-02T11:00:00+00:00,BTC/USDT,1h,110246.00000000,110255.17000000,109563.87000000,109733.34000000,1017.54899000
2025-09-02T12:00:00+00:00,BTC/USDT,1h,109733.33000000,109836.34000000,108393.39000000,108795.99000000,1297.32717000
2025-09-02T13:00:00+00:00,BTC/USDT,1h,108796.00000000,111275.93000000,108733.88000000,111149.99000000,2481.20870000
2025-09-02T14:00:00+00:00,BTC/USDT,1h,111149.99000000,111771.52000000,110780.61000000,111360.01000000,1925.30316000
2025-09-02T15:00:00+00:00,BTC/USDT,1h,111360.00000000,111540.30000000,110628.85000000,110829.17000000,1065.05414000
2025-09-02T16:00:00+00:00,BTC/USDT,1h,110829.16000000,111119.58000000,110469.70000000,110785.85000000,928.68032000
2025-09-02T17:00:00+00:00,BTC/USDT,1h,110785.85000000,111050.00000000,110628.85000000,110914.00000000,702.01172000
2025-09-02T18:00:00+00:00,BTC/USDT,1h,110914.01000000,110945.30000000,110200.00000000,110646.47000000,506.68111000
2025-09-02T19:00:00+00:00,BTC/USDT,1h,110646.47000000,110840.00000000,110441.42000000,110806.00000000,447.85722000
2025-09-02T20:00:00+00:00,BTC/USDT,1h,110806.01000000,111419.18000000,110716.77000000,111418.49000000,585.42846000
2025-09-02T21:00:00+00:00,BTC/USDT,1h,111418.49000000,111538.17000000,111129.57000000,111129.57000000,356.26128000
2025-09-02T22:00:00+00:00,BTC/USDT,1h,111129.58000000,111260.00000000,110870.27000000,111259.99000000,374.87092000
2025-09-02T23:00:00+00:00,BTC/USDT,1h,111260.00000000,111271.13000000,111017.79000000,111240.01000000,258.85129000
2025-09-03T00:00:00+00:00,BTC/USDT,1h,111240.01000000,111782.21000000,111240.01000000,111339.98000000,992.20281000
2025-09-03T01:00:00+00:00,BTC/USDT,1h,111339.98000000,111404.77000000,110901.06000000,111176.94000000,454.81663000
2025-09-03T02:00:00+00:00,BTC/USDT,1h,111176.93000000,111484.05000000,111029.43000000,111372.00000000,424.89931000
2025-09-03T03:00:00+00:00,BTC/USDT,1h,111372.00000000,111411.24000000,110892.14000000,111054.01000000,391.69818000
2025-09-03T04:00:00+00:00,BTC/USDT,1h,111054.00000000,111151.99000000,110836.48000000,111020.68000000,269.26802000
2025-09-03T05:00:00+00:00,BTC/USDT,1h,111020.68000000,111069.48000000,110666.00000000,110685.57000000,327.14961000
2025-09-03T06:00:00+00:00,BTC/USDT,1h,110685.57000000,110879.89000000,110549.80000000,110724.00000000,505.96638000
2025-09-03T07:00:00+00:00,BTC/USDT,1h,110724.00000000,111111.11000000,110528.71000000,111099.88000000,437.31572000
2025-09-03T08:00:00+00:00,BTC/USDT,1h,111099.87000000,111279.48000000,110974.00000000,111019.99000000,365.12571000
2025-09-03T09:00:00+00:00,BTC/USDT,1h,111019.99000000,111324.00000000,110889.29000000,111312.28000000,314.98009000
2025-09-03T10:00:00+00:00,BTC/USDT,1h,111312.28000000,111491.74000000,111170.06000000,111449.99000000,377.12634000
2025-09-03T11:00:00+00:00,BTC/USDT,1h,111450.00000000,111708.00000000,111388.24000000,111437.77000000,457.60494000
2025-09-03T12:00:00+00:00,BTC/USDT,1h,111437.77000000,111858.57000000,111031.61000000,111112.00000000,440.11635000
2025-09-03T13:00:00+00:00,BTC/USDT,1h,111112.00000000,111920.70000000,111065.56000000,111475.07000000,862.57140000
2025-09-03T14:00:00+00:00,BTC/USDT,1h,111475.08000000,112500.00000000,111118.43000000,112261.37000000,1480.64380000
2025-09-03T15:00:00+00:00,BTC/USDT,1h,112261.37000000,112376.70000000,111910.24000000,112222.74000000,766.67332000
2025-09-03T16:00:00+00:00,BTC/USDT,1h,112222.73000000,112336.00000000,111686.24000000,111858.66000000,604.19676000
2025-09-03T17:00:00+00:00,BTC/USDT,1h,111858.65000000,112575.27000000,111858.65000000,112312.64000000,574.69857000
2025-09-03T18:00:00+00:00,BTC/USDT,1h,112312.64000000,112516.35000000,111800.00000000,112000.00000000,465.80305000
2025-09-03T19:00:00+00:00,BTC/USDT,1h,112000.00000000,112252.33000000,111781.63000000,112193.74000000,312.61035000
2025-09-03T20:00:00+00:00,BTC/USDT,1h,112193.74000000,112250.00000000,112052.10000000,112211.31000000,229.15863000
